Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,xG,Pens S,Pen/R,Shot/90,Shot %,ShT/90,Asts/90,Ps C/90,Pas %,K Ps/90,CCC,Cr A,Cr C/A,Tck/90,Tck R,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Salary,Preferred Foot,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,All/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec
Christian Akpan,"D (C), DM, M (C)",27,NGA,"5'9""",149 lbs,,Royal Francs Borains,£1K - £10K,6.85,4,3.18,0,-,0.96,45%,0.43,0.10,44.88,88%,0.82,4,29,12%,2.41,83%,3,2.07,22,18,4.05,1.78,44%,0,1.16,11,8.5mi,1,0,0,20 (10),"1,867",20,2,0,62.23,9,84,3,175.8mi,24,37,43,17,"1,055",931,60,50,30/6/2031,"£1,800 p/w",Left,12-16,1-4,11-15,13-17,9-13,8-11,9-12,1-5,1-3,12-15,8-11,4-7,5-9,10-14,15-18,12-16,1-4,4-7,11-14,12-15,3-6,1-4,8,7,2-6,3-7,7-11,4-7,11,11-15,9-13,2-5,15-18,7-11,6-10,4-7,1-4,1-4,2-5,8-12,7-10,7,10-13,11-15,2-5,9-12,8-12,0.10,0.29,0.16,10.27,8.34,9.01,12.44,2.94,4.58,0.08,6,-,-,20%,0.82,-,-,17,-,-,-,-,-,0.15,-,3.18,Jupiler Pro League,Technical,Midfielder,Scouting Required,0,0.19,1.06,1.40,0.14,1,2.27,0.14,10%,1.21,0.14,50.86,0.05,0.39,0.15,-,Wnt,- -  - 
Dejan Kulusevski,"M/AM (RC), ST (C)",32,SWE,"6'1""",171 lbs,Spirited,Tottenham Hotspur,£130M - £191M,7.07,8,7.86,1,100%,1.61,50%,0.81,0.31,40.41,85%,1.57,8,75,25%,2.20,79%,0,1.75,6,24,4.21,1.34,32%,0,2.96,49,8.5mi,2,0,8,28 (2),"2,009",36,7,1,66.97,18,94,21,189.8mi,66,30,39,35,"1,061",902,62,49,30/6/2032,"£235,000 p/w",Left,13,1,7,14,15,16,6,2,1,14,12,12,15,15,15,14,3,11,15,15,9,1,6,11,3,6,10,3,4,14,15,1,14,17,12,6,1,1,3,17,15,6,14,16,1,16,15,0.00,0.13,0.22,15.99,6.00,14.92,13.89,3.23,3.72,0.17,3,-,-,22%,0.90,-,-,20,-,-,-,-,-,0.32,-,7.06,Premier League,Physical,Elite attacking midfielder,Evasive,0,0.36,0.27,3.36,0.94,0,2.87,0.00,28%,1.43,0.36,47.53,0.09,0.22,0.35,-,,- -  - 
Bobô,"M (C), AM (RC), ST (C)",22,BRA,"5'9""",156 lbs,,Vitória,£3.6M - £5.8M,6.88,14,11.56,0,0%,3.49,50%,1.75,0.07,18.80,87%,0.85,5,10,-,1.08,76%,0,1.19,7,33,6.69,2.08,31%,0,1.23,56,7.4mi,0,0,22,30,"2,422",94,2,1,80.73,47,180,0,199.6mi,33,56,32,23,581,506,38,29,31/12/2034,"£12,000 p/w",Right,15,1-5,7-10,12-15,11-14,13-17,6-10,1-3,2-5,13-16,7-11,5-9,7-10,12-15,15-18,12-15,1-3,5-9,12-15,14-18,9-13,1-2,7,9,2-5,10-13,10-13,4-7,3-7,12-15,13-16,2-6,12,11-14,5-8,3-7,1,1-2,1-5,11-14,11-14,4-8,10-14,12-15,2-5,11-15,8-11,0.04,0.11,0.12,6.87,2.16,17.54,7.10,1.41,0.74,0.09,3,-,-,15%,0.63,-,-,17,-,-,-,-,-,0.40,-,10.75,Campeonato Brasileiro Assaí Série A,Intelligent,Striker,Scouting Required,3,0.19,0.26,0.37,0.00,3,4.61,0.00,0%,0.37,0.00,21.59,0.00,0.97,0.43,-,,- -  - 
Tuta,"AM (RC), ST (C)",23,BRA,"5'9""",156 lbs,,Atlético Mineiro,£12.5M - £20M,7.12,11,9.26,0,-,2.50,57%,1.42,0.24,28.31,85%,1.70,9,97,11%,1.53,66%,1,1.88,17,39,4.72,1.04,22%,0,2.57,48,7.6mi,1,0,9,30,"2,591",72,7,0,86.37,41,136,11,219.5mi,74,30,54,49,960,815,67,44,31/12/2034,"£6,000 p/w",Right,12,1-2,7-10,12-16,10-14,11-15,11-15,2-5,2-6,13-17,6-9,4-7,7-10,13-16,13-17,12-16,1-2,9-13,10-14,12-15,1-5,2-5,8,4,1-4,9-12,9-12,1-3,5-8,12-15,11-15,1-4,13,12-15,1-4,10-14,2-5,2-6,1-3,16-19,9-13,1-4,12-15,15-18,1-4,12-15,15-18,0.00,0.28,0.13,13.86,4.86,15.28,11.36,2.85,2.54,0.18,8,-,-,15%,1.70,-,-,49,-,-,-,-,-,0.32,-,9.26,Campeonato Brasileiro Assaí Série A,Physical,Winger,Scouting Required,0,0.31,0.59,3.37,0.38,1,3.68,0.03,11%,3.37,0.38,33.35,0.00,0.87,0.32,-,,- -  - 
José Domingos,"D (R), DM, M (RC)",21,BRA,"5'9""",158 lbs,,KV Westerlo,£33M - £41M,6.94,1,2.02,0,-,0.81,26%,0.21,0.07,50.85,89%,1.26,8,33,25%,3.34,77%,4,1.69,33,32,3.72,0.91,25%,0,0.98,17,8.6mi,5,0,3,29 (1),"2,563",23,2,0,85.43,6,106,9,245.1mi,28,26,48,36,"1,627","1,448",124,95,30/6/2034,"£24,500 p/w",Right,13-17,1-5,14-18,12-15,11-14,11-14,18-20,2-5,3-6,9-12,11-15,3-7,8-12,13-16,17-20,6-9,1-4,6-9,10,3-7,9-12,1-4,6-10,1-5,1-3,9-13,4-7,6-9,10-14,11-15,9-12,1-4,13-17,11,8-11,15-18,1-2,3-6,1-5,15-18,14,14,14-18,11-14,1-3,11-15,11-14,0.00,0.63,0.09,13.55,9.59,8.53,10.11,3.09,5.51,0.12,18,-,-,4%,1.16,-,-,33,-,-,-,-,-,0.07,-,2.02,Jupiler Pro League,Leader,Defensive midfielder,Scouting Required,0,0.28,1.16,1.16,0.32,1,2.81,0.14,27%,0.95,0.25,57.13,0.49,0.63,0.07,-,,- -  - 
Jean Pedroso,D (C),28,UKR,"6'3""",185 lbs,,Karpaty,£30K - £300K,6.89,5,2.37,0,-,0.68,30%,0.21,0.07,14.97,73%,-,0,0,-,1.61,98%,0,-,0,42,-,-,-,0,-,27,0.0mi,0,0,0,29 (1),"2,628",20,2,0,87.60,6,0,0,0.0mi,0,-,0,0,600,437,48,47,30/6/2031,"£4,000 p/w",Right Only,8-13,-,7-12,9-14,10-15,3-10,6-13,-,-,12-17,10-16,-,-,6-11,15-20,8-13,-,-,11-16,-,-,-,12-19,11-17,-,9-14,2-7,-,8-14,9-14,8-13,-,9-16,9-14,-,9-16,-,-,-,6-11,12-17,10-17,9-16,5-10,-,-,6-11,0.00,-,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,-,-,25%,0.00,-,-,0,-,-,-,-,-,0.08,-,2.37,Favbet Liha,Intelligent,Center back,Scouting Required,0,-,0.00,0.00,0.00,0,-,0.00,-,0.00,0.00,20.55,0.00,0.00,0.08,-,,- -  - 
Kacper Krzepisz,GK,32,POL,"6'3""",180 lbs,,Stomil,Unknown,6.48,0,0.00,0,-,-,-,-,-,8.13,46%,-,0,-,-,0.00,0%,0,0.07,-,0,-,-,-,5,-,0,3.5mi,0,0,0,30,"2,700",0,0,0,90.00,-,-,-,103.8mi,0,-,2,0,527,244,9,0,30/6/2034,£220 p/w,Unknown,-,11-19,-,9-14,-,-,-,4-10,-,-,-,-,-,-,-,-,5-11,-,-,-,-,9-14,-,-,8-13,-,-,-,-,-,-,5-11,-,-,-,4-12,7-13,7-15,12-20,-,-,-,-,-,11-17,-,-,0.00,-,0.00,0.07,5.00,12.77,0.00,0.00,1.07,0.00,-,-6.28,81%,-,0.00,25,-0.21,0,68%,64,57,2.50,0.10,0.00,0%,0.00,PKO Bank Polski Ekstraklasa,Shot Stopper,Goalkeeper,Scouting Required,-,-,10.63,-,-,-,-,0.00,-,-,-,17.57,-,-,0.00,4,,- -  - 
Tomás Tavares,"D (RL), WB (R)",31,CPV,"6'0""",160 lbs,,Spartak Moscow,£600K - £5.8M,7.30,1,0.88,0,-,0.41,17%,0.07,0.07,14.85,73%,-,0,0,-,1.84,93%,0,-,0,19,-,-,-,0,-,33,0.0mi,0,0,0,29 (1),"2,637",12,2,0,87.90,2,0,0,0.0mi,0,-,0,0,600,435,58,54,30/6/2032,"£38,500 p/w",Right,14-19,-,6-11,-,11-17,9-14,4-9,-,-,10-17,8-13,-,-,8-15,8-15,8-14,-,-,11-18,-,-,-,11-16,6-11,-,9-14,-,-,5-10,16-20,-,-,12-17,12-17,-,9-14,-,-,-,8-15,8-15,10-15,12-17,8-15,-,-,6-13,0.00,-,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0,-,-,8%,0.00,-,-,0,-,-,-,-,-,0.03,-,0.88,Tinkoff Russian Premier Liga,Technical,Fullback,Scouting Required,0,-,0.00,0.00,0.00,0,-,0.00,-,0.00,0.00,20.48,0.00,0.00,0.03,-,,- -  - 
Hevertton,"D (RL), WB (R)",31,BRA,"6'0""",158 lbs,,Vitória,£700K - £6.8M,7.00,0,2.65,0,-,0.50,23%,0.12,0.12,39.77,88%,0.81,5,58,13%,2.85,79%,3,2.62,32,23,5.90,3.82,65%,0,1.08,15,7.8mi,3,0,2,26 (4),"2,333",13,3,0,77.77,3,153,8,203.2mi,28,99,68,21,"1,173","1,031",94,74,31/12/2033,"£7,500 p/w",Right,11-15,1-3,9-13,11-14,10-13,9-12,11-14,1-5,1-3,8-11,12-15,9-12,11-15,11-15,9-12,7-10,3-6,7-10,8-11,5-8,3-6,1-4,12,12,1-4,9-13,5-9,9-12,12,11-15,10-13,2-5,10-14,8-12,3-6,10-13,1-5,1-3,1-4,12-16,8-11,10,10-14,12-16,1-2,10-14,12-16,0.42,0.66,0.20,15.78,12.34,13.96,8.10,2.47,4.86,0.16,17,-,-,-,0.81,-,-,21,-,-,-,-,-,0.10,-,2.65,Campeonato Brasileiro Assaí Série A,Physical,Fullback,Scouting Required,0,0.19,1.23,2.24,0.31,0,2.08,0.12,14%,2.24,0.31,45.25,0.62,0.08,0.10,-,,- -  - 
Rodrigo Becker,"D (RL), WB (R), DM, AM (R)",22,BRA,"6'0""",167 lbs,,Vasco da Gama,£10M - £16M,6.80,0,2.71,0,-,0.65,17%,0.11,0.07,43.60,90%,0.58,2,70,8%,2.32,83%,3,2.36,28,21,4.53,2.90,64%,1,1.99,26,8.2mi,1,0,0,29 (1),"2,483",18,2,0,82.77,3,125,6,224.9mi,55,80,65,16,"1,336","1,203",77,64,31/12/2034,"£8,000 p/w",Right,11-14,1-3,9-12,13-17,6-10,13-17,15-19,1-4,1-5,8-12,10-13,6-9,12-15,14-17,13-17,7-11,1-2,3-7,9-13,12-15,9-13,2-5,9,12,1-2,4-7,7-10,2-6,8,12-15,7-11,1-2,12-15,10-13,1-3,9-13,1-4,2-6,1-2,13-16,9-13,9,8-11,14-17,1-4,7-10,13-16,0.22,0.76,0.15,16.09,9.82,14.75,7.94,2.25,5.33,0.06,21,-,-,-,0.58,-,-,16,-,-,-,-,-,0.10,-,2.71,Campeonato Brasileiro Assaí Série A,Physical,Fullback,Scouting Required,1,0.07,1.01,2.54,0.22,0,1.63,0.11,9%,2.54,0.22,48.43,0.47,0.18,0.10,-,,- -  - 
Neider Ospina,M/AM (R),29,COL,"6'4""",187 lbs,,Osasuna,£40K - £130K,6.90,7,4.01,2,100%,1.73,77%,1.34,0.24,28.77,79%,2.04,8,83,9%,2.67,92%,0,2.52,7,15,7.31,4.48,61%,0,2.12,17,8.9mi,0,0,9,10 (20),"1,145",22,3,2,38.17,17,93,9,113.2mi,27,57,32,26,466,366,37,34,30/6/2031,"£18,000 p/w",Left,10-14,-,6-10,14-18,12-16,10-14,8-12,-,-,9-15,9-15,7-13,8-12,10-14,9-15,12-16,-,9-13,7-13,11-17,8-12,-,7-11,14-20,-,9-13,8-12,6-12,-,9-13,13-17,-,11-15,8-12,14-18,5-9,-,-,-,10-14,8-14,5-9,9-13,11-15,-,11-15,11-15,0.08,0.39,0.18,14.86,8.57,16.74,13.21,2.67,3.77,0.22,5,-,-,32%,1.57,-,-,20,-,-,-,-,-,0.19,-,2.43,LaLiga EA Sports,Physical,Winger,Scouting Required,0,0.63,0.55,6.52,0.71,1,2.83,0.00,11%,5.11,0.47,36.63,0.16,0.24,0.32,-,Wnt,- -  - 
Daniel Bielica,GK,33,POL,"6'3""",176 lbs,,Arka,£20K - £200K,6.72,0,0.00,0,-,-,-,-,-,6.63,53%,-,0,-,-,0.00,0%,0,0.27,-,0,-,-,-,1,-,0,2.7mi,0,0,0,30,"2,700",0,0,0,90.00,-,-,-,81.3mi,0,-,8,0,375,199,2,0,30/6/2032,"£4,000 p/w",Right,6-13,13-18,1-7,10-17,9-16,6-11,7-12,9-15,8-13,9-14,11-16,-,-,8-14,-,-,4-9,-,7-12,-,-,8-15,-,13-18,6-13,2-9,-,-,-,-,-,11-16,9-14,5-12,-,7-12,7-13,9-14,9-14,-,11-16,-,-,-,10-15,-,11-17,0.00,-,0.00,0.07,3.83,8.17,0.00,0.00,0.83,0.00,-,-4.23,82%,-,0.00,10,-0.14,0,64%,25,21,1.13,0.23,0.00,0%,0.00,PKO Bank Polski Ekstraklasa,Shot Stopper,Goalkeeper,Scouting Required,-,-,7.90,-,-,-,-,0.00,-,-,-,12.50,-,-,0.00,1,,- -  - 
Marley Cruz,"M (R), AM (RL)",26,NED,"5'8""",147 lbs,,FC Emmen,£4.7M - £9M,6.73,2,2.78,0,-,1.05,41%,0.43,0.14,23.46,82%,1.69,22,228,12%,2.49,79%,0,2.13,21,48,5.84,1.01,17%,0,3.68,51,8.4mi,2,1,13,30,"2,497",29,4,0,83.23,12,162,24,233.6mi,102,28,59,47,798,651,87,69,30/6/2033,"£2,200 p/w",Right,14,2-5,7-10,12-16,9-13,10-13,6-9,1-3,1-4,11-15,6-9,7-10,15-18,12-16,14-18,12-16,1,11-14,13-17,13-16,5-8,2-5,3,7,1-3,6-9,6-10,6-10,2-5,13-16,12-16,1-2,13-16,14-17,2-6,4-7,1-4,1-2,1-4,9-13,7-11,2-5,5-8,9-13,1-5,11-14,9-13,0.00,0.43,0.10,15.71,7.28,17.16,14.71,4.40,3.03,0.24,12,-,-,7%,1.48,-,-,41,-,-,-,-,-,0.10,-,2.78,Eredivisie,Creative,Winger,Scouting Required,0,0.79,0.76,8.22,0.87,1,4.83,0.00,11%,5.41,0.68,28.76,0.22,0.61,0.10,-,,- -  - 
Samuele Vignato,"AM (RLC), ST (C)",28,ITA,"5'8""",136 lbs,,Brighton & Hove Albion,£28M - £37M,6.95,3,3.08,0,-,1.57,43%,0.68,0.20,32.75,86%,2.25,13,86,11%,1.57,62%,0,1.77,7,10,2.87,0.75,26%,0,2.32,27,9.0mi,1,0,3,13 (17),"1,319",23,3,0,43.97,10,42,18,132.2mi,34,11,26,33,556,480,37,23,30/6/2034,"£65,000 p/w",Right,16,1-4,4-8,15-19,11-15,10-13,8-11,1-4,1-3,14-17,13-16,10-13,9-13,13-17,10-13,14-18,2-5,9-12,11-14,15-18,4-7,1-4,8,6,2-6,9-13,9-13,3-6,5-8,10-14,13-17,1-3,15,10-14,11-15,7-10,1-5,1,3-6,12-16,8-11,11-14,12-15,13-17,2-5,15-18,10-14,0.00,-,0.13,13.44,5.60,12.28,10.51,3.41,3.48,0.31,0,-,-,13%,1.16,-,-,17,-,-,-,-,-,0.21,-,3.08,Premier League,Technical,Attacking midfielder,Scouting Required,0,0.89,0.48,5.87,1.23,2,2.12,0.00,21%,2.87,0.34,37.94,0.00,0.96,0.21,-,,- -  - 
Ricardo Coimbra,"WB (R), DM, M (C)",23,POR,"6'4""",194 lbs,,Portimonense,£2.7M - £5.8M,7.05,1,1.81,0,-,0.89,48%,0.43,0.04,71.95,92%,0.71,7,16,26%,3.38,73%,1,1.78,45,52,3.30,2.42,73%,1,0.75,17,8.3mi,3,1,2,29 (1),"2,533",25,1,0,84.43,12,93,4,233.0mi,21,68,50,20,"2,191","2,025",130,95,30/6/2034,"£1,400 p/w",Right,11-15,-,12-16,12-16,14-18,10-16,7-13,-,-,11-15,11-15,5-9,5-9,9-13,13-17,7-11,-,2-8,9-13,11-15,2-8,-,5-11,15-19,-,11-15,8-12,-,10-14,10-14,11-15,-,13-19,7-11,-,10-16,-,-,-,15-19,14-18,8-14,11-17,9-13,-,11-17,9-13,0.64,0.50,0.07,9.95,8.88,8.56,13.15,2.77,3.30,0.10,14,-,-,4%,0.71,-,-,20,-,-,-,-,-,0.06,-,1.81,Liga Portugal Betclic,Physical,Midfielder,Scouting Required,0,0.25,1.60,0.57,0.14,0,0.89,0.04,25%,0.53,0.14,77.85,0.32,0.50,0.06,-,,- -  - 
Matteo Waem,"D (LC), WB (L), DM",31,BEL,"6'3""",178 lbs,,KV Kortrijk,£90K - £900K,6.77,0,0.26,0,-,0.36,60%,0.22,0.15,45.00,89%,0.66,3,10,10%,2.48,87%,2,1.90,13,7,9.19,6.05,66%,0,0.51,3,8.1mi,0,0,1,10 (20),"1,234",5,2,0,41.13,3,126,1,111.7mi,7,83,26,9,695,617,39,34,30/6/2032,"£9,500 p/w",Left Only,11-15,1-4,11-15,11-14,10-13,11-14,11-14,1-4,1-3,10-13,12-15,5-8,8-12,12-16,16-19,8-11,2-5,3-6,8-11,8-11,1-3,1-4,12,14,1-4,12-16,4-8,4-7,12,11-15,8-11,1-4,10-14,9-13,2-5,11-14,1-5,2-5,1-3,11-15,6-9,11,10-14,11-15,1,8-12,12-16,1.17,0.58,0.05,11.74,14.95,7.00,7.44,1.60,5.32,0.11,8,-,-,-,0.66,-,-,9,-,-,-,-,-,0.02,-,0.26,Jupiler Pro League,Leader,Center back,Scouting Required,0,0.22,0.95,0.73,0.07,0,3.14,0.15,10%,0.73,0.07,50.69,0.29,0.00,0.02,-,Wnt,- -  - 
Cédric Kipré,D (C),35,CIV,"6'4""",233 lbs,,Portimonense,£14K - £150K,6.66,1,0.86,0,-,0.25,43%,0.11,-,67.87,96%,0.11,0,0,-,0.83,64%,7,1.52,31,13,3.25,1.88,58%,2,0.04,1,6.6mi,1,0,0,30,"2,493",7,0,0,83.10,3,90,0,182.5mi,1,52,42,3,"1,958","1,880",36,23,30/6/2032,"£2,000 p/w",Right,6-12,-,9-15,9-15,11-17,6-10,12-16,-,-,13-17,9-13,2-6,3-9,9-13,13-17,8-14,-,-,10-14,6-10,4-8,-,14-18,12-16,-,5-11,7-11,3-7,11-15,8-14,5-11,-,11-15,10-16,-,10-14,-,-,-,9-13,16-20,12-16,12-16,10-14,-,11-15,10-14,0.29,0.32,0.12,4.12,6.50,3.25,2.60,1.01,3.10,0.01,9,-,-,14%,0.11,-,-,3,-,-,-,-,-,0.03,-,0.86,Liga Portugal Betclic,Technical,Center back,Scouting Required,3,-,1.12,0.00,0.00,0,1.37,0.25,-,0.00,0.00,70.69,0.25,0.14,0.03,-,,- -  - 
Ander Guevara,"DM, M (C)",34,ESP,"5'11""",158 lbs,,Alavés,£1.4M,6.74,0,0.39,0,-,0.25,20%,0.05,0.10,45.61,88%,0.64,4,11,-,2.31,67%,3,2.11,16,22,3.49,1.33,38%,0,0.64,3,8.1mi,5,0,1,23 (7),"1,831",5,2,0,61.03,1,71,1,165.3mi,13,27,43,13,"1,056",928,70,47,30/6/2032,"£30,500 p/w",Right,7-11,-,15-19,8-12,12-16,10-14,13-17,-,-,11-17,11-15,5-9,8-12,9-15,12-18,8-12,-,8-12,11-17,5-9,5-9,-,9-13,6-10,-,10-14,10-16,6-12,10-14,14-18,8-12,-,5-9,15-19,-,11-15,-,-,-,6-12,7-13,12-16,14-18,12-18,-,12-16,11-17,0.10,0.54,0.08,11.50,9.88,7.96,13.91,3.24,4.57,0.07,11,-,-,-,0.59,-,-,12,-,-,-,-,-,0.02,-,0.39,LaLiga EA Sports,Leader,Veteran midfielder,Scouting Required,0,0.20,0.79,0.54,0.05,0,2.16,0.15,9%,0.29,0.00,51.91,0.34,0.15,0.02,-,Inj,- -  - 
Patrik Vangeel,"M (L), AM (RLC), ST (C)",24,BEL,"5'10""",160 lbs,,Lommel SK,£0,6.60,3,3.99,0,-,1.14,31%,0.35,-,26.50,85%,1.22,11,54,17%,1.36,74%,1,1.62,14,18,6.52,1.18,18%,0,1.97,34,8.4mi,1,0,11,25 (5),"2,058",26,0,0,68.60,8,149,11,191.8mi,45,27,37,28,714,606,42,31,30/6/2031,"£3,200 p/w",Left,13,1-3,9-12,11-15,8-12,15-19,6-10,2-5,1-4,14-18,11-14,3-6,8-11,14-17,13-17,10-14,1-4,6-10,9-13,12-15,5-9,1-3,8,4,1-5,5-8,7-10,3-7,2-5,13-16,10-14,1-2,14,11-14,3-7,7-11,2-5,2-6,1-2,13-16,9-13,2-5,8-11,11-14,1-3,9-12,10-13,0.00,0.35,0.15,13.34,5.60,9.58,11.37,2.67,1.88,0.14,8,-,-,12%,1.05,-,-,24,-,-,-,-,-,0.17,-,3.99,Jupiler Pro League,Physical,Attacking midfielder,Scouting Required,0,0.48,0.61,2.36,0.48,0,5.34,0.04,20%,1.97,0.35,31.22,0.13,0.44,0.17,-,Lst,- -  - 
Rodrigo Rego,"D (LC), DM",30,POR,"6'0""",156 lbs,,Varzim,£2.2M - £4.7M,6.94,0,0.20,0,-,0.17,40%,0.07,0.03,78.53,95%,0.10,1,6,-,1.64,70%,12,2.70,38,15,3.29,2.09,64%,0,0.27,2,6.9mi,3,0,0,30,"2,629",5,1,0,87.63,2,96,0,202.3mi,8,61,79,3,"2,417","2,294",69,48,30/6/2034,"£2,400 p/w",Left Only,11-15,-,10-14,10-14,11-15,10-14,10-14,-,-,8-12,14-18,5-9,6-10,10-16,11-15,6-10,-,-,8-12,14-18,2-6,-,8-14,13-17,-,9-13,5-11,4-8,13-17,12-16,8-12,-,11-17,11-15,-,10-14,-,-,-,10-16,8-12,9-15,8-14,11-17,-,7-13,9-15,0.31,0.48,0.04,3.77,9.45,4.62,3.12,0.92,4.21,0.02,14,-,-,-,0.10,-,-,3,-,-,-,-,-,0.01,-,0.20,Liga Portugal Betclic,Technical,Center back,Scouting Required,0,0.03,1.30,0.21,0.00,0,1.20,0.41,0%,0.21,0.00,82.74,0.24,0.07,0.01,-,,- -  - 
Lídio Waddington,"DM, M (C)",22,BRA,"5'11""",163 lbs,Resolute,Vitória,£6.8M,6.75,0,1.38,0,-,0.32,25%,0.08,0.20,45.26,88%,1.11,11,9,11%,2.14,66%,3,1.67,21,52,3.49,1.35,39%,0,0.71,11,7.8mi,5,2,0,30,"2,269",8,5,0,75.63,2,88,1,196.8mi,18,34,42,28,"1,299","1,141",82,54,31/12/2035,"£16,000 p/w",Left,11,3,13,11,14,17,15,2,1,13,12,7,6,14,15,7,2,9,16,9,11,1,7,10,3,15,9,4,12,12,12,2,13,14,7,11,2,1,2,14,12,11,14,13,2,14,16,0.04,0.44,0.17,11.46,14.52,6.47,10.07,3.53,4.96,0.18,11,-,-,-,1.07,-,-,27,-,-,-,-,-,0.05,-,1.38,Campeonato Brasileiro Assaí Série A,Leader,Defensive midfielder,Level-headed,1,0.44,0.83,0.36,0.04,1,2.14,0.12,11%,0.36,0.04,51.52,0.20,0.08,0.05,-,,- -  - 
Mamadou Coulibaly,"WB (R), DM, M (C)",33,SEN,"6'0""",169 lbs,,Widzew,£0,7.10,3,3.26,0,-,1.50,38%,0.58,0.19,62.30,91%,1.23,15,30,27%,2.30,81%,0,1.96,22,13,4.60,1.80,39%,1,1.19,17,8.3mi,1,0,1,27 (3),"2,346",39,5,0,78.20,15,120,6,217.5mi,31,47,51,32,"1,775","1,624",74,60,30/6/2031,"£6,000 p/w",Right,8-14,-,9-15,7-12,-,11-16,9-14,-,-,9-14,-,-,5-11,-,9-14,5-10,-,8-13,6-11,12-17,-,-,5-12,11-16,-,8-14,9-16,-,-,8-14,11-16,-,5-12,10-16,-,10-15,-,-,-,8-15,5-10,7-14,7-14,8-15,-,7-14,12-19,0.15,0.31,0.08,14.12,9.17,9.44,13.12,3.64,6.14,0.17,8,-,-,8%,1.23,-,-,32,-,-,-,-,-,0.13,-,3.26,PKO Bank Polski Ekstraklasa,Intelligent,Experienced midfielder,Scouting Required,0,0.58,0.84,1.15,0.23,0,2.80,0.00,20%,0.69,0.19,68.09,0.12,1.27,0.13,-,,- -  - 
Daam Foulon,D/WB (L),33,BEL,"5'11""",152 lbs,,Sint-Truiden,£28K - £300K,6.65,1,1.06,0,-,0.53,33%,0.18,0.18,32.71,81%,1.45,9,148,19%,3.86,85%,11,2.90,38,51,5.95,2.97,50%,0,0.85,6,8.5mi,10,0,2,29 (1),"2,542",15,5,0,84.73,5,168,19,241.2mi,24,84,82,41,"1,144",924,128,109,30/6/2032,"£3,500 p/w",Left,10-14,1-5,15-19,9-12,8-11,11-14,12-15,1-4,1-4,10-13,9-13,5-9,11-15,10-13,13-16,8-11,1-2,9-12,11-14,6-10,7-10,1-4,10,10,1-2,9-13,7-10,12-15,12,14-18,8-11,1-2,9-13,12-16,3-6,12-15,2-5,1-4,1-4,10-13,10-13,13,11-15,8-11,3-6,8-12,11-14,0.50,0.67,0.07,18.41,14.27,12.11,9.98,3.12,5.63,0.13,19,-,-,7%,0.85,-,-,24,-,-,-,-,-,0.04,-,1.06,Jupiler Pro League,Leader,Experienced full back,Scouting Required,0,0.32,1.35,5.24,0.67,1,2.97,0.39,13%,1.81,0.35,40.50,0.18,0.39,0.04,-,Wnt,- -  - 
Marcelo Sepúlveda,"D (RLC), WB (L)",24,CHI,"5'10""",160 lbs,,Pogoń,£240K - £2.4M,6.79,0,0.63,0,-,0.44,42%,0.18,0.07,30.62,80%,0.62,4,140,7%,2.14,81%,5,2.72,47,17,4.14,1.82,44%,0,0.91,9,7.9mi,3,0,3,29 (1),"2,478",12,2,0,82.60,5,114,11,216.6mi,25,50,75,17,"1,050",843,73,59,30/6/2035,"£4,700 p/w",Left,11-18,-,1-8,12-19,12-19,10-15,12-17,-,-,6-11,12-17,-,-,10-16,11-16,7-14,-,-,5-10,-,-,-,7-12,5-10,-,7-14,1-7,-,11-16,9-16,9-16,-,14-19,3-10,-,7-12,-,-,-,11-17,9-14,9-14,10-15,7-13,-,-,11-17,0.18,0.54,0.05,10.46,12.46,11.91,6.68,2.40,4.87,0.09,15,-,-,-,0.62,-,-,17,-,-,-,-,-,0.02,-,0.63,PKO Bank Polski Ekstraklasa,Physical,Center back,Scouting Required,0,0.15,1.71,5.08,0.40,0,2.32,0.18,8%,5.05,0.40,38.14,0.22,0.33,0.02,-,,- -  - 
